Combo,Avg_Src_Acc,Avg_Src_MDE,Avg_Tgt_Acc,Avg_Tgt_MDE,Seeds_Detail
2_4,97.2109,0.0350,27.0408,1.1131,"[42, 6767, 123456]"
3_4,96.1905,0.0756,29.1837,1.1322,"[42, 6767, 123456]"
1_2_3,98.6395,0.0172,37.9252,0.7813,"[42, 6767, 123456]"
1_2_4,98.6054,0.0169,33.9456,0.8469,"[42, 6767, 123456]"
1_3_4,97.8912,0.0281,34.1837,0.9270,"[42, 6767, 123456]"
2_3_4,97.8231,0.0303,36.2245,0.7918,"[42, 6767, 123456]"
1_2_3_4,98.5374,0.0173,36.1224,0.7861,"[42, 6767, 123456]"

// 2026/1/28
1,94.1156,0.0868,27.9592,1.2842,"[42, 6767, 123456]"
2,93.6395,0.0996,23.1633,1.3710,"[42, 6767, 123456]"
3,91.2925,0.1423,27.4490,1.2285,"[42, 6767, 123456]"
4,94.5238,0.0905,28.9796,1.1950,"[42, 6767, 123456]"
1_2,97.7211,0.0332,32.2109,1.0313,"[42, 6767, 123456]"
1_3,95.8844,0.0509,39.4558,0.9498,"[42, 6767, 123456]"
1_4,98.1293,0.0294,37.7551,1.0480,"[42, 6767, 123456]"
2_3,96.8367,0.0454,35.3401,0.9728,"[42, 6767, 123456]"
2_4,97.3469,0.0348,29.6259,0.9848,"[42, 6767, 123456]"
3_4,95.6463,0.0811,32.9252,1.1171,"[42, 6767, 123456]"
1_2_3,98.4354,0.0198,38.4014,0.7843,"[42, 6767, 123456]"
1_2_4,98.7415,0.0155,40.3401,0.8436,"[42, 6767, 123456]"
1_3_4,98.0952,0.0321,42.1088,0.9155,"[42, 6767, 123456]"
2_3_4,98.1973,0.0255,38.0272,0.8090,"[42, 6767, 123456]"
1_2_3_4,98.8776,0.0150,40.3741,0.7650,"[42, 6767, 123456]"

// 2026/2/4
1,94.3878,0.0851,33.9116,0.9883,"[42, 6767, 123456]"
2,94.9660,0.0729,24.0816,1.1270,"[42, 6767, 123456]"
3,91.3265,0.1317,25.1020,1.0428,"[42, 6767, 123456]"
4,94.4558,0.0905,25.5442,1.1748,"[42, 6767, 123456]"
1_2,97.9252,0.0273,33.7415,0.8584,"[42, 6767, 123456]"
1_3,95.9524,0.0609,37.0068,0.8336,"[42, 6767, 123456]"
1_4,98.1633,0.0273,41.3946,0.8241,"[42, 6767, 123456]"
2_3,96.5986,0.0426,34.2517,0.7536,"[42, 6767, 123456]"
2_4,97.6871,0.0315,27.9592,0.8122,"[42, 6767, 123456]"
3_4,96.5306,0.0659,29.5578,0.9866,"[42, 6767, 123456]"
1_2_3,98.4014,0.0207,43.3673,0.6108,"[42, 6767, 123456]"
1_2_4,98.9116,0.0176,42.3810,0.6246,"[42, 6767, 123456]"
1_3_4,98.2653,0.0309,46.7347,0.6430,"[42, 6767, 123456]"
2_3_4,98.0612,0.0279,34.7279,0.7185,"[42, 6767, 123456]"
1_2_3_4,98.9456,0.0129,42.6531,0.6235,"[42, 6767, 123456]"
FusionCDAN_1,94.6259,0.0852,34.0136,1.0004,"[42, 6767, 123456]"
FusionCDAN_2,94.1156,0.0863,29.3878,1.3098,"[42, 6767, 123456]"
FusionCDAN_3,91.1224,0.1350,21.4286,1.3645,"[42, 6767, 123456]"
FusionCDAN_4,95.3061,0.0753,22.0748,1.4001,"[42, 6767, 123456]"
FusionCDAN_1_2,97.6190,0.0331,44.7619,0.7408,"[42, 6767, 123456]"
FusionCDAN_1_3,95.2041,0.0607,41.1224,0.8768,"[42, 6767, 123456]"
FusionCDAN_1_4,97.5170,0.0319,29.7279,0.9932,"[42, 6767, 123456]"
FusionCDAN_2_3,95.8163,0.0579,35.8163,0.9509,"[42, 6767, 123456]"
FusionCDAN_2_4,97.4830,0.0300,31.1905,1.0150,"[42, 6767, 123456]"
FusionCDAN_3_4,97.1088,0.0553,24.0136,1.3374,"[42, 6767, 123456]"
FusionCDAN_1_2_3,98.2313,0.0219,42.9252,0.7857,"[42, 6767, 123456]"
FusionCDAN_1_2_4,98.8095,0.0128,44.6259,0.7093,"[42, 6767, 123456]"
FusionCDAN_1_3_4,98.1633,0.0273,38.6054,0.8911,"[42, 6767, 123456]"
FusionCDAN_2_3_4,98.0952,0.0247,34.6939,0.9414,"[42, 6767, 123456]"
FusionCDAN_1_2_3_4,98.9796,0.0122,42.1088,0.7498,"[42, 6767, 123456]"
FusionCDAN_1,94.2857,0.0825,28.1633,1.2234,"[42, 6767, 123456]"
FusionCDAN_2,94.8299,0.0733,24.4898,1.3705,"[42, 6767, 123456]"
FusionCDAN_3,90.2041,0.1573,24.0476,1.3260,"[42, 6767, 123456]"
FusionCDAN_4,95.0000,0.0769,21.9728,1.4383,"[42, 6767, 123456]"
FusionCDAN_1_2,97.9932,0.0243,30.5102,1.0738,"[42, 6767, 123456]"
FusionCDAN_1_3,96.0544,0.0493,37.3129,0.8884,"[42, 6767, 123456]"
FusionCDAN_1_4,97.1769,0.0477,27.3469,1.0255,"[42, 6767, 123456]"
FusionCDAN_2_3,96.7687,0.0438,30.1361,1.0190,"[42, 6767, 123456]"
FusionCDAN_2_4,97.2109,0.0350,27.0408,1.1131,"[42, 6767, 123456]"
FusionCDAN_3_4,96.1905,0.0756,29.1837,1.1322,"[42, 6767, 123456]"
FusionCDAN_1_2_3,98.6395,0.0172,37.9252,0.7813,"[42, 6767, 123456]"
FusionCDAN_1_2_4,98.6054,0.0169,33.9456,0.8469,"[42, 6767, 123456]"
FusionCDAN_1_3_4,97.8912,0.0281,34.1837,0.9270,"[42, 6767, 123456]"
FusionCDAN_2_3_4,97.8231,0.0303,36.2245,0.7918,"[42, 6767, 123456]"
FusionCDAN_1_2_3_4,98.5374,0.0173,36.1224,0.7861,"[42, 6767, 123456]"
FusionCDAN_1,94.1156,0.0868,27.9592,1.2842,"[42, 6767, 123456]"
FusionCDAN_2,93.6395,0.0996,23.1633,1.3710,"[42, 6767, 123456]"
FusionCDAN_3,91.2925,0.1423,27.4490,1.2285,"[42, 6767, 123456]"
FusionCDAN_4,94.5238,0.0905,28.9796,1.1950,"[42, 6767, 123456]"
FusionCDAN_1_2,97.7211,0.0332,32.2109,1.0313,"[42, 6767, 123456]"
FusionCDAN_1_3,95.8844,0.0509,39.4558,0.9498,"[42, 6767, 123456]"
FusionCDAN_1_4,98.1293,0.0294,37.7551,1.0480,"[42, 6767, 123456]"
FusionCDAN_2_3,96.8367,0.0454,35.3401,0.9728,"[42, 6767, 123456]"
FusionCDAN_2_4,97.3469,0.0348,29.6259,0.9848,"[42, 6767, 123456]"
FusionCDAN_3_4,95.6463,0.0811,32.9252,1.1171,"[42, 6767, 123456]"
FusionCDAN_1_2_3,98.4354,0.0198,38.4014,0.7843,"[42, 6767, 123456]"
FusionCDAN_1_2_4,98.7415,0.0155,40.3401,0.8436,"[42, 6767, 123456]"
FusionCDAN_1_3_4,98.0952,0.0321,42.1088,0.9155,"[42, 6767, 123456]"
FusionCDAN_2_3_4,98.1973,0.0255,38.0272,0.8090,"[42, 6767, 123456]"
FusionCDAN_1_2_3_4,98.8776,0.0150,40.3741,0.7650,"[42, 6767, 123456]"
FusionCDAN_1,94.3878,0.0851,33.9116,0.9883,"[42, 6767, 123456]"
FusionCDAN_2,94.9660,0.0729,24.0816,1.1270,"[42, 6767, 123456]"
FusionCDAN_3,91.3265,0.1317,25.1020,1.0428,"[42, 6767, 123456]"
FusionCDAN_4,94.4558,0.0905,25.5442,1.1748,"[42, 6767, 123456]"
FusionCDAN_1_2,97.9252,0.0273,33.7415,0.8584,"[42, 6767, 123456]"
FusionCDAN_1_3,95.9524,0.0609,37.0068,0.8336,"[42, 6767, 123456]"
FusionCDAN_1_4,98.1633,0.0273,41.3946,0.8241,"[42, 6767, 123456]"
FusionCDAN_2_3,96.5986,0.0426,34.2517,0.7536,"[42, 6767, 123456]"
FusionCDAN_2_4,97.6871,0.0315,27.9592,0.8122,"[42, 6767, 123456]"
FusionCDAN_3_4,96.5306,0.0659,29.5578,0.9866,"[42, 6767, 123456]"
FusionCDAN_1_2_3,98.4014,0.0207,43.3673,0.6108,"[42, 6767, 123456]"
FusionCDAN_1_2_4,98.9116,0.0176,42.3810,0.6246,"[42, 6767, 123456]"
FusionCDAN_1_3_4,98.2653,0.0309,46.7347,0.6430,"[42, 6767, 123456]"
FusionCDAN_2_3_4,98.0612,0.0279,34.7279,0.7185,"[42, 6767, 123456]"
FusionCDAN_1_2_3_4,98.9456,0.0129,42.6531,0.6235,"[42, 6767, 123456]"
FusionCDAN_1,94.5918,0.0762,19.1156,1.2296,"[42, 6767, 123456]"
FusionCDAN_2,94.4558,0.0884,25.1361,1.3698,"[42, 6767, 123456]"
FusionCDAN_3,91.3265,0.1473,21.0884,1.4402,"[42, 6767, 123456]"
FusionCDAN_4,93.7415,0.0991,24.0136,1.4933,"[42, 6767, 123456]"
FusionCDAN_1_2,98.0612,0.0267,28.0612,1.1026,"[42, 6767, 123456]"
FusionCDAN_1_3,95.8163,0.0520,27.5170,0.9948,"[42, 6767, 123456]"
FusionCDAN_1_4,97.7551,0.0367,30.2721,1.1652,"[42, 6767, 123456]"
FusionCDAN_2_3,96.8367,0.0378,31.8707,1.0283,"[42, 6767, 123456]"
FusionCDAN_2_4,96.6327,0.0427,34.2857,1.0514,"[42, 6767, 123456]"
FusionCDAN_3_4,95.8503,0.0850,27.9932,1.3830,"[42, 6767, 123456]"
FusionCDAN_1_2_3,98.4694,0.0176,34.9320,0.8457,"[42, 6767, 123456]"
FusionCDAN_1_2_4,98.4694,0.0180,41.7347,0.6991,"[42, 6767, 123456]"
FusionCDAN_1_3_4,97.9932,0.0332,38.2313,1.0147,"[42, 6767, 123456]"
FusionCDAN_2_3_4,98.1633,0.0212,44.3878,0.7722,"[42, 6767, 123456]"
FusionCDAN_1_2_3_4,98.7075,0.0155,50.3061,0.6643,"[42, 6767, 123456]"

// 2026/1/14 without na & acc + entropy score select method
FusionCDAN_1,95.3401,0.0691,31.7007,1.0737,"[42, 6767, 123456]"
FusionCDAN_2,94.2177,0.0890,30.5442,1.3534,"[42, 6767, 123456]"
FusionCDAN_3,91.0544,0.1481,22.6871,1.3879,"[42, 6767, 123456]"
FusionCDAN_4,94.6259,0.0889,21.3946,1.3672,"[42, 6767, 123456]"
FusionCDAN_1_2,97.7211,0.0315,43.4354,0.7733,"[42, 6767, 123456]"
FusionCDAN_1_3,96.8367,0.0442,38.2993,0.9084,"[42, 6767, 123456]"
FusionCDAN_1_4,97.7551,0.0259,32.0408,0.9910,"[42, 6767, 123456]"
FusionCDAN_2_3,96.6327,0.0438,33.3333,0.9633,"[42, 6767, 123456]"
FusionCDAN_2_4,97.6190,0.0307,30.8163,1.0323,"[42, 6767, 123456]"
FusionCDAN_3_4,97.1088,0.0525,25.3741,1.4675,"[42, 6767, 123456]"
FusionCDAN_1_2_3,98.2313,0.0212,44.2517,0.7196,"[42, 6767, 123456]"
FusionCDAN_1_2_4,98.8776,0.0135,43.6054,0.7466,"[42, 6767, 123456]"
FusionCDAN_1_3_4,98.6395,0.0200,36.3605,0.9294,"[42, 6767, 123456]"
FusionCDAN_2_3_4,98.2993,0.0205,35.7483,0.9131,"[42, 6767, 123456]"
FusionCDAN_1_2_3_4,98.8435,0.0117,40.6803,0.7874,"[42, 6767, 123456]"

// 2026/1/14 with na & acc + entropy score select method
FusionCDAN_1,95.5782,0.0643,36.5646,0.9542,"[42, 6767, 123456]"
FusionCDAN_2,93.2653,0.0911,27.2109,1.3054,"[42, 6767, 123456]"
FusionCDAN_3,91.7347,0.1259,22.1429,1.4646,"[42, 6767, 123456]"
FusionCDAN_4,94.5238,0.0811,24.2177,1.3456,"[42, 6767, 123456]"
FusionCDAN_1_2,97.3129,0.0348,44.6939,0.7457,"[42, 6767, 123456]"
FusionCDAN_1_3,96.8707,0.0404,40.9864,0.8239,"[42, 6767, 123456]"
FusionCDAN_1_4,97.5170,0.0300,31.6667,1.0089,"[42, 6767, 123456]"
FusionCDAN_2_3,96.3265,0.0444,35.6122,0.9491,"[42, 6767, 123456]"
FusionCDAN_2_4,97.1088,0.0364,30.5442,1.0037,"[42, 6767, 123456]"
FusionCDAN_3_4,97.1429,0.0507,23.0272,1.3436,"[42, 6767, 123456]"
FusionCDAN_1_2_3,98.0952,0.0241,45.1020,0.6726,"[42, 6767, 123456]"
FusionCDAN_1_2_4,98.8776,0.0136,39.5918,0.8038,"[42, 6767, 123456]"
FusionCDAN_1_3_4,98.2313,0.0249,38.3333,0.9013,"[42, 6767, 123456]"
FusionCDAN_2_3_4,98.1293,0.0228,35.0000,0.9017,"[42, 6767, 123456]"
FusionCDAN_1_2_3_4,98.9456,0.0122,42.1429,0.7165,"[42, 6767, 123456]"

// 2026/1/14 with na & acc + entropy score select method (350 epoch)
FusionCDAN_1,95.0000,0.0750,33.8095,0.9992,"[42, 6767, 123456]"
FusionCDAN_2,93.2653,0.0909,27.1429,1.3635,"[42, 6767, 123456]"
FusionCDAN_3,90.9864,0.1404,22.5850,1.3331,"[42, 6767, 123456]"
FusionCDAN_4,94.4558,0.0828,22.9932,1.3686,"[42, 6767, 123456]"
FusionCDAN_1_2,97.5170,0.0335,46.1905,0.7063,"[42, 6767, 123456]"
FusionCDAN_1_3,96.3605,0.0442,42.3469,0.8298,"[42, 6767, 123456]"
FusionCDAN_1_4,98.2993,0.0227,29.8980,1.0172,"[42, 6767, 123456]"
FusionCDAN_2_3,96.8707,0.0370,34.2177,0.9469,"[42, 6767, 123456]"
FusionCDAN_2_4,97.0748,0.0314,33.3673,0.9836,"[42, 6767, 123456]"
FusionCDAN_3_4,97.4490,0.0443,24.9320,1.3487,"[42, 6767, 123456]"
FusionCDAN_1_2_3,98.2993,0.0220,49.4558,0.6584,"[42, 6767, 123456]"
FusionCDAN_1_2_4,98.8435,0.0131,43.4354,0.7466,"[42, 6767, 123456]"
FusionCDAN_1_3_4,98.5374,0.0207,36.1905,0.8795,"[42, 6767, 123456]"
FusionCDAN_2_3_4,98.1973,0.0213,34.6599,0.9383,"[42, 6767, 123456]"
FusionCDAN_1_2_3_4,99.0476,0.0125,40.8503,0.7468,"[42, 6767, 123456]"
FusionCDAN_1,94.9320,0.0681,30.6803,1.1398,"[42, 6767, 123456]"
FusionCDAN_2,94.3197,0.0783,25.9524,1.3787,"[42, 6767, 123456]"
FusionCDAN_3,91.5986,0.1326,25.4422,1.2376,"[42, 6767, 123456]"
FusionCDAN_4,94.5578,0.0866,24.3537,1.3499,"[42, 6767, 123456]"
FusionCDAN_1_2,97.6871,0.0297,32.7891,1.0038,"[42, 6767, 123456]"
FusionCDAN_1_3,95.9864,0.0558,39.0476,0.8654,"[42, 6767, 123456]"
FusionCDAN_1_4,97.5850,0.0379,27.3810,1.0021,"[42, 6767, 123456]"
FusionCDAN_2_3,96.6667,0.0416,32.5510,0.9341,"[42, 6767, 123456]"
FusionCDAN_2_4,97.4150,0.0343,27.0408,1.0762,"[42, 6767, 123456]"
FusionCDAN_3_4,96.0544,0.0765,29.1497,1.0967,"[42, 6767, 123456]"
FusionCDAN_1_2_3,98.1633,0.0229,37.2449,0.7601,"[42, 6767, 123456]"
FusionCDAN_1_2_4,98.6735,0.0146,34.2177,0.7280,"[42, 6767, 123456]"
FusionCDAN_1_3_4,98.0272,0.0334,40.4762,0.8081,"[42, 6767, 123456]"
FusionCDAN_2_3_4,97.6871,0.0300,37.1429,0.8054,"[42, 6767, 123456]"
FusionCDAN_1_2_3_4,98.2993,0.0193,40.2721,0.6414,"[42, 6767, 123456]"
FusionCDAN_1,94.4898,0.0750,28.6054,1.2307,"[42, 6767, 123456]"
FusionCDAN_2,94.3537,0.0801,25.2041,1.3447,"[42, 6767, 123456]"
FusionCDAN_3,91.4286,0.1526,27.4150,1.2697,"[42, 6767, 123456]"
FusionCDAN_4,94.5918,0.0848,28.9796,1.1791,"[42, 6767, 123456]"
FusionCDAN_1_2,97.9932,0.0269,30.9184,1.0712,"[42, 6767, 123456]"
FusionCDAN_1_3,95.9864,0.0562,38.2313,0.9308,"[42, 6767, 123456]"
FusionCDAN_1_4,97.4490,0.0351,36.5306,1.0213,"[42, 6767, 123456]"
FusionCDAN_2_3,96.5646,0.0482,35.8503,0.8836,"[42, 6767, 123456]"
FusionCDAN_2_4,97.4150,0.0308,31.7347,0.9079,"[42, 6767, 123456]"
FusionCDAN_3_4,95.5442,0.0867,32.4490,1.1144,"[42, 6767, 123456]"
FusionCDAN_1_2_3,98.0952,0.0214,38.5714,0.8284,"[42, 6767, 123456]"
FusionCDAN_1_2_4,98.8435,0.0143,38.5034,0.8530,"[42, 6767, 123456]"
FusionCDAN_1_3_4,98.7075,0.0184,39.4218,0.8505,"[42, 6767, 123456]"
FusionCDAN_2_3_4,98.0952,0.0239,35.1020,0.9024,"[42, 6767, 123456]"
FusionCDAN_1_2_3_4,99.1156,0.0099,44.2517,0.7337,"[42, 6767, 123456]"
FusionCDAN_1,95.3741,0.0751,28.6395,1.2386,"[42, 6767, 123456]"
FusionCDAN_2,94.5578,0.0799,24.0816,1.3534,"[42, 6767, 123456]"
FusionCDAN_3,92.1088,0.1280,26.1565,1.2448,"[42, 6767, 123456]"
FusionCDAN_4,93.6054,0.0947,29.0816,1.2303,"[42, 6767, 123456]"
FusionCDAN_1_2,97.9252,0.0247,31.4286,1.0711,"[42, 6767, 123456]"
FusionCDAN_1_3,96.3265,0.0446,36.4966,1.0112,"[42, 6767, 123456]"
FusionCDAN_1_4,97.5510,0.0406,36.3946,1.0242,"[42, 6767, 123456]"
FusionCDAN_2_3,96.9388,0.0400,34.1156,0.9487,"[42, 6767, 123456]"
FusionCDAN_2_4,97.2449,0.0336,31.4626,0.9098,"[42, 6767, 123456]"
FusionCDAN_3_4,96.7007,0.0608,32.6871,1.1225,"[42, 6767, 123456]"
FusionCDAN_1_2_3,98.4694,0.0192,38.3673,0.7809,"[42, 6767, 123456]"
FusionCDAN_1_2_4,98.8776,0.0163,39.0136,0.8256,"[42, 6767, 123456]"
FusionCDAN_1_3_4,97.3129,0.0361,40.8163,0.9300,"[42, 6767, 123456]"
FusionCDAN_2_3_4,98.1633,0.0289,35.9524,0.8310,"[42, 6767, 123456]"
FusionCDAN_1_2_3_4,98.6395,0.0147,39.0136,0.7259,"[42, 6767, 123456]"

// 2026/1/14 gate neetwork
FusionCDAN_1,94.9320,0.0819,34.5918,1.0094,"[42, 6767, 123456]"
FusionCDAN_2,92.9252,0.1056,25.7143,1.3347,"[42, 6767, 123456]"
FusionCDAN_3,90.8503,0.1509,21.8027,1.4217,"[42, 6767, 123456]"
FusionCDAN_4,94.6939,0.0865,21.1905,1.3472,"[42, 6767, 123456]"
FusionCDAN_1_2,98.3333,0.0234,42.4490,0.8277,"[42, 6767, 123456]"
FusionCDAN_1_3,97.6871,0.0341,39.7959,0.9305,"[42, 6767, 123456]"
FusionCDAN_1_4,97.4830,0.0368,31.7347,0.9691,"[42, 6767, 123456]"
FusionCDAN_2_3,97.1429,0.0403,35.4082,0.9402,"[42, 6767, 123456]"
FusionCDAN_2_4,97.6190,0.0303,32.4490,1.0258,"[42, 6767, 123456]"
FusionCDAN_3_4,97.5170,0.0481,24.7279,1.3073,"[42, 6767, 123456]"
FusionCDAN_1_2_3,98.6054,0.0189,45.1701,0.7491,"[42, 6767, 123456]"
FusionCDAN_1_2_4,98.8435,0.0164,38.9116,0.8039,"[42, 6767, 123456]"
FusionCDAN_1_3_4,98.4694,0.0250,38.4694,0.8905,"[42, 6767, 123456]"
FusionCDAN_2_3_4,98.2313,0.0196,34.6939,0.9199,"[42, 6767, 123456]"
FusionCDAN_1_2_3_4,99.0136,0.0141,44.6939,0.6713,"[42, 6767, 123456]"
FusionCDAN_1,93.5034,0.1003,35.3061,0.9788,"[42, 6767, 123456]"
FusionCDAN_2,93.9796,0.0901,25.5442,1.1156,"[42, 6767, 123456]"
FusionCDAN_3,91.1905,0.1402,28.6395,0.9713,"[42, 6767, 123456]"
FusionCDAN_4,94.4218,0.0918,27.6531,1.1586,"[42, 6767, 123456]"
FusionCDAN_1_2,97.6871,0.0283,38.8776,0.7534,"[42, 6767, 123456]"
FusionCDAN_1_3,96.0884,0.0566,41.8707,0.7122,"[42, 6767, 123456]"
FusionCDAN_1_4,97.5850,0.0385,45.8844,0.7081,"[42, 6767, 123456]"
FusionCDAN_2_3,96.4966,0.0431,34.7619,0.7420,"[42, 6767, 123456]"
FusionCDAN_2_4,97.2449,0.0337,34.2177,0.7915,"[42, 6767, 123456]"
FusionCDAN_3_4,96.7007,0.0609,32.2109,0.9368,"[42, 6767, 123456]"
FusionCDAN_1_2_3,98.6735,0.0165,43.7415,0.5661,"[42, 6767, 123456]"
FusionCDAN_1_2_4,99.0816,0.0110,44.0136,0.5740,"[42, 6767, 123456]"
FusionCDAN_1_3_4,98.7075,0.0232,49.5578,0.6564,"[42, 6767, 123456]"
FusionCDAN_2_3_4,98.0612,0.0249,37.8571,0.6469,"[42, 6767, 123456]"
FusionCDAN_1_2_3_4,98.9116,0.0094,45.0680,0.6090,"[42, 6767, 123456]"

// 2026/1/14 Gate Weight Check
FusionCDAN_1,96.0204,0.0679,29.8639,1.1024,"[42, 6767, 123456]"
