Combo,Avg_Src_Acc,Avg_Src_MDE,Avg_Tgt_Acc,Avg_Tgt_MDE,Seeds_Detail
Dual_FixedRSSI_RTT_1_3,96.3265,0.0460,32.8231,1.1275,"[42, 6767, 123456]"
Dual_FixedRSSI_RTT_1_4,98.2313,0.0273,31.4626,1.0522,"[42, 6767, 123456]"
Dual_FixedRSSI_RTT_2_3,96.9048,0.0395,29.6259,0.9278,"[42, 6767, 123456]"
Dual_FixedRSSI_RTT_2_4,97.3810,0.0320,28.9116,1.0123,"[42, 6767, 123456]"
Dual_FixedRSSI_RTT_3_4,95.8163,0.0831,30.5442,1.0940,"[42, 6767, 123456]"
Dual_FixedRSSI_RTT_1,94.3537,0.0816,27.7551,1.2589,"[42, 6767, 123456]"
Dual_FixedRSSI_RTT_2,94.5918,0.0846,23.8095,1.3031,"[42, 6767, 123456]"
Dual_FixedRSSI_RTT_3,90.9864,0.1361,24.0816,1.3503,"[42, 6767, 123456]"
Dual_FixedRSSI_RTT_4,94.5238,0.0898,27.7551,1.2418,"[42, 6767, 123456]"
Dual_FixedRSSI_RTT_1_2_3_4,99.0136,0.0127,36.6327,0.7410,"[42, 6767, 123456]"
Dual_FixedRSSI_RTT_1_2_3,98.7415,0.0177,37.5510,0.6817,"[42, 6767, 123456]"
Dual_FixedRSSI_RTT_1_2_4,99.0136,0.0130,35.9524,0.6372,"[42, 6767, 123456]"
Dual_FixedRSSI_RTT_1_3_4,98.5374,0.0238,38.3673,0.8734,"[42, 6767, 123456]"
Dual_FixedRSSI_RTT_2_3_4,98.2653,0.0216,29.4898,0.9120,"[42, 6767, 123456]"
Dual_FixedRSSI_RTT_1_2,98.2313,0.0220,35.3401,0.8607,"[42, 6767, 123456]"
Dual_FixedRSSI_RTT_1_3,96.5306,0.0481,33.3333,0.9652,"[42, 6767, 123456]"
Dual_FixedRSSI_RTT_1_4,98.0612,0.0317,38.2313,0.8784,"[42, 6767, 123456]"
Dual_FixedRSSI_RTT_2_3,97.1429,0.0363,25.1361,0.9839,"[42, 6767, 123456]"
Dual_FixedRSSI_RTT_2_4,97.8231,0.0248,23.1293,0.9387,"[42, 6767, 123456]"
Dual_FixedRSSI_RTT_3_4,96.7007,0.0642,26.9048,1.1116,"[42, 6767, 123456]"
Dual_FixedRSSI_RTT_1,95.2041,0.0723,32.2109,1.1151,"[42, 6767, 123456]"
Dual_FixedRSSI_RTT_2,94.6259,0.0808,21.6667,1.1112,"[42, 6767, 123456]"
Dual_FixedRSSI_RTT_3,91.3605,0.1329,23.4354,1.1775,"[42, 6767, 123456]"
Dual_FixedRSSI_RTT_4,94.1497,0.0867,26.7347,1.1620,"[42, 6767, 123456]"
FusionDANN_1,94.3537,0.0812,27.5170,1.0399,"[42, 6767, 123456]"
FusionDANN_2,95.1361,0.0735,24.4218,1.3893,"[42, 6767, 123456]"
FusionDANN_3,91.5646,0.1329,17.8231,1.4583,"[42, 6767, 123456]"
FusionDANN_4,94.2517,0.0872,24.0476,1.2591,"[42, 6767, 123456]"
FusionDANN_1_2,97.7211,0.0337,38.7415,0.8501,"[42, 6767, 123456]"
FusionDANN_1_3,96.8707,0.0410,33.8435,0.9975,"[42, 6767, 123456]"
FusionDANN_1_4,98.4014,0.0184,29.2857,1.0512,"[42, 6767, 123456]"
FusionDANN_2_3,96.7007,0.0468,31.3605,1.0414,"[42, 6767, 123456]"
FusionDANN_2_4,97.7211,0.0307,29.6259,1.0916,"[42, 6767, 123456]"
FusionDANN_3_4,96.8367,0.0638,24.4558,1.3068,"[42, 6767, 123456]"
FusionDANN_1_2_3,98.6395,0.0178,41.8367,0.7853,"[42, 6767, 123456]"
FusionDANN_1_2_4,98.9456,0.0113,37.5850,0.8712,"[42, 6767, 123456]"
FusionDANN_1_3_4,98.5034,0.0232,32.3810,1.0550,"[42, 6767, 123456]"
FusionDANN_2_3_4,98.4014,0.0226,31.5646,0.9693,"[42, 6767, 123456]"
FusionDANN_1_2_3_4,99.2517,0.0085,36.8707,0.7813,"[42, 6767, 123456]"
FusionDANN_1,95.5442,0.0642,30.1020,1.2705,"[42, 6767, 123456]"
FusionDANN_2,94.7279,0.0832,20.6803,1.4034,"[42, 6767, 123456]"
FusionDANN_3,91.2245,0.1244,20.1361,1.5001,"[42, 6767, 123456]"
FusionDANN_4,94.9320,0.0803,22.4490,1.4506,"[42, 6767, 123456]"
FusionDANN_1_2,98.2653,0.0257,31.5646,1.0880,"[42, 6767, 123456]"
FusionDANN_1_3,96.2585,0.0478,34.0816,1.0463,"[42, 6767, 123456]"
FusionDANN_1_4,98.3333,0.0215,27.7211,1.1840,"[42, 6767, 123456]"
FusionDANN_2_3,96.8707,0.0384,28.4354,1.0238,"[42, 6767, 123456]"
FusionDANN_2_4,97.5850,0.0309,23.8776,1.1844,"[42, 6767, 123456]"
FusionDANN_3_4,96.8707,0.0557,26.4286,1.2835,"[42, 6767, 123456]"
FusionDANN_1_2_3,98.7755,0.0171,33.2313,0.8756,"[42, 6767, 123456]"
FusionDANN_1_2_4,98.9456,0.0116,29.3537,0.9701,"[42, 6767, 123456]"
FusionDANN_1_3_4,98.3673,0.0239,31.2245,1.0928,"[42, 6767, 123456]"
FusionDANN_2_3_4,98.1293,0.0255,28.1973,1.0206,"[42, 6767, 123456]"
FusionDANN_1_2_3_4,99.0136,0.0126,34.3878,0.8970,"[42, 6767, 123456]"
FusionDANN_1,94.3537,0.0816,27.7551,1.2589,"[42, 6767, 123456]"
FusionDANN_2,94.5918,0.0846,23.8095,1.3031,"[42, 6767, 123456]"
FusionDANN_3,90.9864,0.1361,24.0816,1.3503,"[42, 6767, 123456]"
FusionDANN_4,94.5238,0.0898,27.7551,1.2418,"[42, 6767, 123456]"
FusionDANN_1_2,98.4694,0.0200,32.0408,1.0272,"[42, 6767, 123456]"
FusionDANN_1_3,96.3265,0.0460,32.8231,1.1275,"[42, 6767, 123456]"
FusionDANN_1_4,98.2313,0.0273,31.4626,1.0522,"[42, 6767, 123456]"
FusionDANN_2_3,96.9048,0.0395,29.6259,0.9278,"[42, 6767, 123456]"
FusionDANN_2_4,97.3810,0.0320,28.9116,1.0123,"[42, 6767, 123456]"
FusionDANN_3_4,95.8163,0.0831,30.5442,1.0940,"[42, 6767, 123456]"
FusionDANN_1_2_3,98.7075,0.0146,35.4762,0.8728,"[42, 6767, 123456]"
FusionDANN_1_2_4,99.0476,0.0103,36.8027,0.9343,"[42, 6767, 123456]"
FusionDANN_1_3_4,98.7415,0.0187,32.2109,1.0994,"[42, 6767, 123456]"
FusionDANN_2_3_4,98.0612,0.0305,36.9388,0.8862,"[42, 6767, 123456]"
FusionDANN_1_2_3_4,98.8776,0.0138,36.2585,0.8502,"[42, 6767, 123456]"
FusionDANN_1,95.2041,0.0723,32.2109,1.1151,"[42, 6767, 123456]"
FusionDANN_2,94.6259,0.0808,21.6667,1.1112,"[42, 6767, 123456]"
FusionDANN_3,91.3605,0.1329,23.4354,1.1775,"[42, 6767, 123456]"
FusionDANN_4,94.1497,0.0867,26.7347,1.1620,"[42, 6767, 123456]"
FusionDANN_1_2,98.2313,0.0220,35.3401,0.8607,"[42, 6767, 123456]"
FusionDANN_1_3,96.5306,0.0481,33.3333,0.9652,"[42, 6767, 123456]"
FusionDANN_1_4,98.0612,0.0317,38.2313,0.8784,"[42, 6767, 123456]"
FusionDANN_2_3,97.1429,0.0363,25.1361,0.9839,"[42, 6767, 123456]"
FusionDANN_2_4,97.8231,0.0248,23.1293,0.9387,"[42, 6767, 123456]"
FusionDANN_3_4,96.7007,0.0642,26.9048,1.1116,"[42, 6767, 123456]"
FusionDANN_1_2_3,98.7415,0.0177,37.5510,0.6817,"[42, 6767, 123456]"
FusionDANN_1_2_4,99.0136,0.0130,35.9524,0.6372,"[42, 6767, 123456]"
FusionDANN_1_3_4,98.5374,0.0238,38.3673,0.8734,"[42, 6767, 123456]"
FusionDANN_2_3_4,98.2653,0.0216,29.4898,0.9120,"[42, 6767, 123456]"
FusionDANN_1_2_3_4,99.0136,0.0127,36.6327,0.7410,"[42, 6767, 123456]"
